Qualification,Experience,Rating,Place,Profile,Miscellaneous_Info,Fees
"BHMS, PGDHHM",15 years experience,,"Kadugodi, Bangalore",Homeopath,,450
"BAMS, M. SC in YOGA",10 years experience,,"Thirumullaivoyal, Chennai",Ayurveda,,200
BDS,12 years experience,99%,"Bannerghatta Road, Bangalore",Dentist,Complete/Partial Dentures Fixing Tooth Extraction Dental Fillings,200
"Diploma in Naturopathy & Yogic Science (DNYT), BHMS",3 years experience,,"Rohini Sector 7, Delhi",Homeopath,,200
BAMS,18 years experience,,"Chembur, Mumbai",Ayurveda,,50
"MBBS, MS - ENT",50 years experience,,"Teynampet, Chennai",ENT Specialist,,100
"MBBS, DM - Nephrology",26 years experience,,"Kilpauk, Chennai",General Medicine,,500
"MBBS, MS - ENT, Diploma in Child Health (DCH)",19 years experience,,"Ayanavaram, Chennai",ENT Specialist,,250
"MBBS, MS - ENT",38 years experience,91%,"Paschim Vihar, Delhi",ENT Specialist,"91% 5 Feedback Paschim Vihar, Delhi",600
"MBBS, MD - Dermatology",18 years experience,89%,"Sarjapur Road, Bangalore",Dermatologists,"89% 33 Feedback Sarjapur Road, Bangalore",500
"BAMS, Diploma In Pharmacy",9 years experience,,"Whitefield, Bangalore",Ayurveda,,200
MD - Dermatology,11 years experience,,"Kolathur, Chennai",Dermatologists,,300
MS - Otorhinolaryngology,10 years experience,,"Whitefield, Bangalore",ENT Specialist,,600
"MBBS, Diploma in Otorhinolaryngology (DLO)",23 years experience,88%,"Mira Road, Mumbai",ENT Specialist,"88% 4 Feedback Mira Road, Mumbai",300
MBBS,38 years experience,100%,"Richards Town, Bangalore",General Medicine,"100% 2 Feedback Richards Town, Bangalore",200
"BDS, MDS - Prosthodontics",13 years experience,97%,"CV Raman Nagar, Bangalore",Dentist,BPS Dentures Fixing Dental Implant Fixing Crowns and Bridges Fixing,500
"BHMS, Post Graduate Diploma in Medical Cosmetology (PGDMC)",11 years experience,,"Anna Nagar East, Chennai",Homeopath,,300
"BAMS, MD - Ayurveda Medicine",7 years experience,,"Banjara Hills, Hyderabad",Ayurveda,,500
"MBBS, MS - ENT",11 years experience,67%,"Tolichowki, Hyderabad",ENT Specialist,"67% 18 Feedback Tolichowki, Hyderabad",400
"BDS, MDS - Oral & Maxillofacial Surgery, FFDRCSI",16 years experience,96%,"Shaikpet, Hyderabad",Dentist,Facial Trauma Dental Implant Fixing Orthognathic Surgery,200
BDS,2 years experience,,"Ambattur, Chennai",Dentist,Orthotic Splints Disclusion Time Reduction (DTR) Dental Fillings,100
MBBS,34 years experience,,"Vileparle East, Mumbai",General Medicine,,100
"BDS, MDS - Prosthodontics",6 years experience,,"Banjara Hills, Hyderabad",Dentist,"Restoring worn dentition Temporomandibular Problems Extra-oral Maxillofacial Prosthesis.(Ear prosthesis,Eye Prosthesis and Facial Prosthesis)",200
BHMS,4 years experience,,"Narela, Delhi",Homeopath,,100
"MBBS, MD - Dermatology, DDV",49 years experience,,"Byculla, Mumbai",Dermatologists,,300
"BAMS, MD- Dravya Guna",10 years experience,95%,"BTM Layout 2nd Stage, Bangalore",Ayurveda,Ayurveda PCOD/ PCOS Diet Counselling PCOD/PCOS Treatment,250
BAMS,34 years experience,,"Kurla West, Mumbai",Ayurveda,,100
"BAMS, MD - Ayurveda Medicine",15 years experience,,"Kandivali West, Mumbai",Ayurveda,,300
MBBS,43 years experience,90%,"Powai, Mumbai",General Medicine,"90% 1 Feedback Powai, Mumbai",100
"LCEH, CGO",25 years experience,,"Andheri East, Mumbai",Homeopath,,200
"BDS, Certificate in Dental Implants, Certification in Full Mouth Rehabilitation",33 years experience,100%,"Safdarjung Enclave, Delhi",Dentist,Cosmetic/ Aesthetic Dentistry Crowns and Bridges Fixing Tooth Extraction,800
"MBBS, DLO, DNB - ENT",13 years experience,100%,"Khairatabad, Hyderabad",ENT Specialist,"100% 5 Feedback Khairatabad, Hyderabad",500
"MBBS, MD - Dermatology",34 years experience,,"Nehru Place, Delhi",Dermatologists,,800
BHMS,15 years experience,,"Madinaguda, Hyderabad",Homeopath,,400
"BDS, MDS - Prosthodontics, FICOI",11 years experience,97%,"Bandra West, Mumbai",Dentist,Impaction / Impacted Tooth Extraction Maxillo Facial Prosthodontics Oral Rehabilitation,100
"MBBS, MD - Dermatology , Venereology & Leprosy",5 years experience,,"Manapakkam, Chennai",Dermatologists,,600
"BHMS, MD - Homeopathy",19 years experience,100%,"Parel, Mumbai",Homeopath,"100% 14 Feedback Parel, Mumbai",100
BHMS,8 years experience,,"Ramanthapur, Hyderabad",Homeopath,,200
MBBS,33 years experience,92%,"Bellandur, Bangalore",General Medicine,"92% 16 Feedback Bellandur, Bangalore",400
"BDS, MDS - Conservative Dentistry & Endodontics",8 years experience,99%,"Jayanagar 9 Block, Bangalore",Dentist,Cosmetic/ Aesthetic Dentistry RCT - Root Canal Treatment Porcelain inlays and onlays,250
MBBS,22 years experience,,"Secunderabad, Hyderabad",General Medicine,,100
BAMS,21 years experience,,"Uttarahalli, Bangalore",Ayurveda,,150
"BDS, MDS - Prosthodontist & Oral Implantologist",14 years experience,98%,"Nariman Point, Mumbai",Dentist,Dental Implant Fixing Implant Retained Dentures,500
"MBBS, Diploma in Otorhinolaryngology (DLO)",32 years experience,85%,"Kandanchavadi, Chennai",ENT Specialist,"85% 43 Feedback Kandanchavadi, Chennai",300
"BSAM, BAMS",40 years experience,,"Chamarajpet, Bangalore",Ayurveda,,300
"MBBS, MD - Dermatology",15 years experience,100%,"Bali Nagar, Delhi",Dermatologists,"100% 13 Feedback Bali Nagar, Delhi",600
"MBBS, MD - Dermatology , Venereology & Leprosy",9 years experience,,"Perambur, Chennai",Dermatologists,,200
MBBS,25 years experience,100%,"BTM Layout 2nd Stage, Bangalore",General Medicine,"100% 16 Feedback BTM Layout 2nd Stage, Bangalore",200
"BDS, MDS - Paedodontics And Preventive Dentistry",17 years experience,99%,"Arekere, Bangalore",Dentist,Complete/Partial Dentures Fixing Tooth Extraction Dental Fillings,200
"MD - Anaesthesiology, MBBS",6 years experience,,"Kaggadasapura, Bangalore",General Medicine,"Kaggadasapura, Bangalore ₹400 Available Today",400
BAMS,51 years experience,,"Andheri West, Mumbai",Ayurveda,,100
"BAMS, DYSc., Post Graduate in Clinical Psychology, Certificate Course in Panchakarma, Certificate Course in Nadi Sutra",10 years experience,98%,"Shalimar Bagh, Delhi",Ayurveda,"98% 63 Feedback Shalimar Bagh, Delhi",500
"MBBS, MD - Skin & VD",22 years experience,83%,"Kandivali East, Mumbai",Dermatologists,"83% 4 Feedback Kandivali East, Mumbai",700
BDS,4 years experience,96%,"KR Puram, Bangalore",Dentist,"96% 4 Feedback KR Puram, Bangalore",100
"BDS, MDS - Oral & Maxillofacial Surgery",21 years experience,98%,"Tarnaka, Hyderabad",Dentist,Laminates RCT - Root Canal Treatment Crowns and Bridges Fixing,200
"MBBS, DNB - Internal Medicine",15 years experience,,"Chembur East, Mumbai",General Medicine,,600
"MBBS, DM - Gastroenterology, FAGE, MD - General Medicine",14 years experience,,"Vasant Kunj, Delhi",General Medicine,,100
"MBBS, DNB - General Medicine, FRCP, Post Graduate Certificate In Hiv And Std Manegement, Fellowship in Rheumatology, Fellow Indian Academy Of Clinical Medicine, Advance Course In Osteoporosis, EULAR certificate for Rheumatic Diseases",29 years experience,76%,"Old Rajendra Nagar, Delhi",General Medicine,"76% 8 Feedback Old Rajendra Nagar, Delhi",100
BDS,12 years experience,,"Moti Nagar, Hyderabad",Dentist,"Moti Nagar, Hyderabad ₹100 Visits Today",100
MBBS,4 years experience,,"Powai, Mumbai",General Medicine,,400
"MBBS, MD - Radio Diagnosis/Radiology",19 years experience,,"Dwarka, Delhi",General Medicine,,100
"BDS, Diploma in Implant Dentistry",19 years experience,,"Edayarpalayam, Coimbatore",Dentist,,100
MBBS,28 years experience,,"Dahisar East, Mumbai",General Medicine,,200
"DDVL, MBBS, Fellowship in Cosmetology",9 years experience,99%,"Banjara Hills, Hyderabad",Dermatologists,Fractional Laser Laser Hair Removal - Face Laser Resurfacing,400
MBBS,37 years experience,,"Kandivali East, Mumbai",General Medicine,,100
"MBBS, MRCP (UK), CCT - Dermatology, Diploma in ABLS (USA)",16 years experience,87%,"Gachibowli, Hyderabad",Dermatologists,Skin Boosters and Fillers Permanent Acne Solutions Nose Fillers,600
"MBBS, Diploma in Otorhinolaryngology (DLO), DAA - Diploma in Allergy Asthma and Immunology",23 years experience,97%,"CV Raman Nagar, Bangalore",ENT Specialist,"97% 240 Feedback CV Raman Nagar, Bangalore",400
MBBS,14 years experience,,"Dadar, Mumbai",General Medicine,Health Checkup (General) Infectious Disease Treatment Viral Fever Treatment,400
BAMS,14 years experience,,"Dilsukhnagar, Hyderabad",Ayurveda,,200
BHMS,21 years experience,97%,"Vasant Kunj, Delhi",Homeopath,"97% 12 Feedback Vasant Kunj, Delhi",500
BHMS,19 years experience,,"Moti Nagar, Hyderabad",Homeopath,,200
"BDS, MDS - Prosthodontist And Crown Bridge",11 years experience,98%,"Bandra West, Mumbai",Dentist,Implant Rehabilitation Implant Retained Dentures Dental Implant Fixing,500
"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",46 years experience,88%,"HSR Layout, Bangalore",General Medicine,"88% 18 Feedback HSR Layout, Bangalore",600
BAMS,17 years experience,,"Whitefield, Bangalore",Ayurveda,,150
"MBBS, MD - Dermatology , Venereology & Leprosy, FCPS - Dermatology, Venereology & Leprosy",12 years experience,100%,"Vileparle West, Mumbai",Dermatologists,"100% 256 Feedback Vileparle West, Mumbai",100
"MRCP (UK), MBBS, MD - General Medicine",6 years experience,,"HSR Layout, Bangalore",General Medicine,Diabetes Management Hypertension Treatment Lipid Disorders,500
"MDS - Periodontology and Oral Implantology, BDS",7 years experience,,"Kondapur, Hyderabad",Dentist,Dental Checkup (General) Oral Surgery Procedures Smile Design,200
BDS,14 years experience,,"Mayur Vihar Ph-III, Delhi",Dentist,Crowns and Bridges Fixing Dental Fillings Tooth Extraction,200
BHMS,5 years experience,,"HBR Layout, Bangalore",Homeopath,,500
BHMS,10 years experience,,"Santacruz West, Mumbai",Homeopath,,800
BDS,16 years experience,,"Ashok Nagar, Chennai",Dentist,"Dental services Ashok Nagar, Chennai ₹100",100
BHMS,30 years experience,96%,"Lajpat Nagar 4, Delhi",Homeopath,Skin Disease Treatment Hair Loss Treatment Weight Loss Diet Counseling,250
"MBBS, DNB - Dermatology & Venereology",22 years experience,,"Sion West, Mumbai",Dermatologists,Skin Allergy Treatment Skin Allergies Dermabrasion,500
BAMS,13 years experience,,"Banashankari 1st Stage, Bangalore",Ayurveda,,100
"MBBS, MS - ENT, DNB - ENT",9 years experience,,"Tambaram East, Chennai",ENT Specialist,,200
"MBBS, MD - Medicine, MD - Diabetology",18 years experience,99%,"Ramesh Nagar, Delhi",General Medicine,"99% 35 Feedback Ramesh Nagar, Delhi",700
"BAMS, Yoga Instructor's Course, Certified Course in Yoga",11 years experience,,"HAL 2nd Stage, Bangalore",Ayurveda,Panchakarma Takradhara Kizhi,500
"MBBS, Diploma in Diabetes",7 years experience,,"Vasundhra Enclave, Delhi",General Medicine,"Diabetes Management Vasundhra Enclave, Delhi ₹300",300
BAMS,10 years experience,97%,"Shahdara, Delhi",Ayurveda,"97% 3 Feedback Shahdara, Delhi",250
"MD - Dermatology, MBBS",39 years experience,,"Palavakkam, Chennai",Dermatologists,,300
BAMS,12 years experience,96%,"Borivali, Mumbai",Ayurveda,"96% 2 Feedback Borivali, Mumbai",100
BAMS,17 years experience,,"Whitefield, Bangalore",Ayurveda,,500
BAMS,34 years experience,,"Madhu Vihar, Delhi",Ayurveda,,100
"MBBS, MS - Otorhinolaryngology",18 years experience,93%,"Dilsukhnagar, Hyderabad",ENT Specialist,Reconstructive Middle Ear Surgery Congenital Ear Problem Treatment Surgery Of The Facial Nerve,350
"MBBS, MD - Internal Medicine",37 years experience,,"Lal baug, Mumbai",General Medicine,,300
MBBS,56 years experience,76%,"BTM Layout 2nd Stage, Bangalore",General Medicine,"76% 7 Feedback BTM Layout 2nd Stage, Bangalore",200
"BDS, FPFA, MDS - Orthodontics and Dentofacial Orthopaedics, Fellowship in Implant and Esthetic Dentistry",22 years experience,98%,"Paschim Vihar, Delhi",Dentist,Cosmetic/ Aesthetic Dentistry Dental Implant Fixing Impaction / Impacted Tooth Extraction,500
"MBBS, MD - Dermatology , Venereology & Leprosy",17 years experience,95%,"KPHB, Hyderabad",Dermatologists,"95% 164 Feedback KPHB, Hyderabad",400
"MS - Otorhinolaryngology, MBBS",8 years experience,97%,"Banashankari 3rd Stage, Bangalore",ENT Specialist,"97% 40 Feedback Banashankari 3rd Stage, Bangalore",300
"MBBS, MD - Medicine",29 years experience,,"Mira Road, Mumbai",General Medicine,,500
"MBBS, MD - Dermatology , Venereology & Leprosy",6 years experience,,"OMR Road, Chennai",Dermatologists,,700
"MBBS, MD - Dermatology",14 years experience,85%,"Lingampally, Hyderabad",Dermatologists,"85% 12 Feedback Lingampally, Hyderabad",350
"MS - ENT, MBBS",28 years experience,69%,"Malad West, Mumbai",ENT Specialist,"69% 2 Feedback Malad West, Mumbai",800
"Diploma in Otorhinolaryngology (DLO), MBBS",15 years experience,96%,"Pallavaram, Chennai",ENT Specialist,"96% 163 Feedback Pallavaram, Chennai",300
"MBBS, MS - Otorhinolaryngology",4 years experience,,"Balanagar, Hyderabad",ENT Specialist,,500
"BAMS, BAMS",5 years experience,,"Bhandup West, Mumbai",Ayurveda,,100
MBBS,38 years experience,,"Nanganallur, Chennai",General Medicine,,100
"BDS, MDS - Oral Medicine and Radiology",14 years experience,,"Nungambakkam, Chennai",Dentist,Dental Fillings Zirconia Crowns Pulpectomy,200
"MD - Skin & VD, MBBS",13 years experience,,"Peelamedu, Coimbatore",Dermatologists,,200
"MBBS, MD - Anaesthesiology",13 years experience,96%,"Valasaravakkam, Chennai",General Medicine,Diabetology GENERAL PHYSICIAN pain & palliative care,250
BHMS,17 years experience,90%,"Ashok Vihar Phase 1, Delhi",Homeopath,"90% 3 Feedback Ashok Vihar Phase 1, Delhi",100
"MBBS, MD - Internal Medicine, Fellowship in Diabetology",13 years experience,99%,"Hyderguda, Hyderabad",General Medicine,"99% 5 Feedback Hyderguda, Hyderabad",500
"MDS - Preventive and Public Health Dentistry, BDS",16 years experience,99%,"South Extension 1, Delhi",Dentist,"99% 29 Feedback South Extension 1, Delhi",200
MD - Dermatology,23 years experience,,"Jubilee Hills, Hyderabad",Dermatologists,,500
"CGO, BAMS",9 years experience,,"Ghatkopar West, Mumbai",Ayurveda,,100
BAMS,14 years experience,93%,"Rohini, Delhi",Ayurveda,"93% 24 Feedback Rohini, Delhi",300
"MBBS, MD - General Medicine",33 years experience,,"Kilpauk, Chennai",General Medicine,,200
"MBBS, DNB - Dermatology & Venereology",9 years experience,,"Tolichowki, Hyderabad",Dermatologists,,300
"MBBS, MD - General Medicine",10 years experience,,"Yelahanka, Bangalore",General Medicine,,300
"MBBS, MS - Otorhinolaryngology",22 years experience,,"Somajiguda, Hyderabad",ENT Specialist,,450
"MBBS, DVD",19 years experience,98%,"Powai, Mumbai",Dermatologists,"98% 83 Feedback Powai, Mumbai",100
"MD - Dermatology, MBBS",8 years experience,,"Sahakaranagar, Bangalore",Dermatologists,,300
BHMS,0 years experience,,"Bhayandar West, Mumbai",Homeopath,,50
"MBBS, Diploma in Otorhinolaryngology (DLO)",43 years experience,,"Jayanagar 4 Block, Bangalore",ENT Specialist,,400
"BDS, MDS",5 years experience,,"Green Park, Delhi",Dentist,Zirconia Crowns Ceramic Veneers / Crowns Tooth Extraction,500
"MD - Dermatology , Venereology & Leprosy, MBBS",4 years experience,100%,"Andheri East, Mumbai",Dermatologists,Skin Allergy Treatment Dermabrasion Wrinkle Treatment,500
BDS,15 years experience,,"Cherannagar, Coimbatore",Dentist,,100
"BAMS, Yoga Instructor's Course, Certificate in Food and Nutrition, Certificate course in Reiki",12 years experience,,"Uttarahalli, Bangalore",Ayurveda,,250
BHMS,13 years experience,97%,"Banaswadi, Bangalore",Homeopath,"97% 37 Feedback Banaswadi, Bangalore",250
"MBBS, MD - Medicine",19 years experience,95%,"Dilshad Garden, Delhi",General Medicine,,400
"BHMS, Certificate in Nutrition and Health in Hospitalized , Certificate in Guidance and Counselling",11 years experience,,"Chembur, Mumbai",Homeopath,,700
MD - Homeopathy,0 years experience,,"Kalkaji, Delhi",Homeopath,,500
BDS,22 years experience,95%,"Pitampura, Delhi",Dentist,"95% 31 Feedback Pitampura, Delhi",400
"MBBS, MD - Dermatology",23 years experience,97%,"Defence Colony, Delhi",Dermatologists,Chemical Peel Acne / Pimples Treatment Wart Removal,100
"MBBS, DNB - General Medicine, DNB - Nephrology",17 years experience,96%,"Old Rajendra Nagar, Delhi",General Medicine,"96% 1 Feedback Old Rajendra Nagar, Delhi",100
MBBS,41 years experience,,"Peelamedu, Coimbatore",General Medicine,,100
MBBS,34 years experience,92%,"Banashankari, Bangalore",Dermatologists,"92% 4 Feedback Banashankari, Bangalore",300
"BDS, MDS - Oral & Maxillofacial Surgery",27 years experience,96%,"Adyar, Chennai",Dentist,Presurgical Orthodontics Orthodontics for children Adult Orthodontics,500
MBBS,29 years experience,,"Pandav Nagar, Delhi",General Medicine,,300
BAMS,7 years experience,,"Lajpat Nagar, Delhi",Ayurveda,,500
MBBS,51 years experience,,"Ulsoor, Bangalore",General Medicine,,100
BDS,8 years experience,100%,"Charni Road, Mumbai",Dentist,Crowns and Bridges Fixing Impaction / Impacted Tooth Extraction Conservative Dentistry,300
BDS,14 years experience,,"Punjagutta, Hyderabad",Dentist,Acrylic Partial Denture Cast Partial Denture Artificial Teeth,400
"BAMS, Post Graduate Diploma in Healthcare Management(PGDHM), Post graduate diploma in Health Management, Post Graduate Diploma in Hospital & Healthcare Management",20 years experience,100%,"Sahakaranagar, Bangalore",Ayurveda,"100% 2 Feedback Sahakaranagar, Bangalore",200
"MBBS, MD - Dermatology , Venereology & Leprosy",8 years experience,98%,"Dwarka Sector 7, Delhi",Dermatologists,"98% 58 Feedback Dwarka Sector 7, Delhi",400
"BDS, MDS - Oral & Maxillofacial Surgery",38 years experience,97%,"Anna Nagar, Chennai",Dentist,"97% 62 Feedback Anna Nagar, Chennai",300
BHMS,12 years experience,100%,"Shalimar Bagh, Delhi",Homeopath,Diet Counseling Chronic Pain Treatment Health Checkup (General),500
"MBBS, MD - Dermatology , Venereology & Leprosy, Diploma in Medical Cosmetology",10 years experience,,"Madhapur, Hyderabad",Dermatologists,Dermatosurgery Anti Aging Treatment Skin Polishing,500
"MBBS, MS - General Surgery, MCh - Neuro Surgery",7 years experience,,"Peelamedu, Coimbatore",General Medicine,,300
"MBBS, Diploma in Hospital Administration",20 years experience,98%,"Indiranagar, Bangalore",General Medicine,HIV/AIDS Physician HIV/AIDS Medicine HIV Counselling,400
BHMS,24 years experience,95%,"Koramangala 5 Block, Bangalore",Homeopath,"95% 15 Feedback Koramangala 5 Block, Bangalore",450
BDS,9 years experience,98%,"Hauz Khas, Delhi",Dentist,RCT - Single Sitting Dental Implant Fixing Cosmetic/ Aesthetic Dentistry,500
"MBBS, MD - Internal Medicine",42 years experience,,"Kandivali West, Mumbai",General Medicine,,300
"MBBS, Diploma in Otorhinolaryngology (DLO)",22 years experience,91%,"Bannerghatta Road, Bangalore",ENT Specialist,"91% 3 Feedback Bannerghatta Road, Bangalore",250
"BAMS, MS - Ayurveda",10 years experience,,"Perumbavoor, Ernakulam",Ayurveda,,150
BDS,9 years experience,,"Manikonda, Hyderabad",Dentist,Teeth Whitening Scaling / Polishing Alveolectomy,200
MD - Homeopathy,7 years experience,,"Matunga, Mumbai",Homeopath,,500
MBBS,44 years experience,,"Lower Parel, Mumbai",General Medicine,,100
"BHMS, PGDPC (Post Graduation Diploma In Psychological Counselling)",15 years experience,92%,"Malad West, Mumbai",Homeopath,Skin Disease Treatment Kidney Stone Treatment Gall Bladder (Biliary) Stone Treatment,100
"MBBS, DDV",19 years experience,,"Dwarka, Delhi",Dermatologists,"Wart Removal Dermabrasion Sun Spots, Age Spots, And Other Pigmented Lesions",300
"MBBS, DDVL",10 years experience,,"Triplicane, Chennai",Dermatologists,,200
"MBBS, MD - Transfusion Medicine",46 years experience,,"Kilpauk, Chennai",General Medicine,,100
BDS,19 years experience,,"Vilankurichi, Coimbatore",Dentist,,50
"MBBS, MD - Dermatology",9 years experience,,"Richmond Town, Bangalore",Dermatologists,,600
BAMS,7 years experience,,"Mylapore, Chennai",Ayurveda,,300
MD - Dermatology,0 years experience,,"Anna Nagar, Chennai",Dermatologists,,200
BHMS,20 years experience,,"Marathahalli, Bangalore",Homeopath,,250
"MBBS, DVD, DNB - Dermatology & Venereology, Fellowship in Dermatology",19 years experience,95%,"Jayanagar 9 Block, Bangalore",Dermatologists,"95% 3 Feedback Jayanagar 9 Block, Bangalore",550
MBBS,14 years experience,,"Viveknagar, Bangalore",General Medicine,,300
"BDS, MDS - Oral Medicine",10 years experience,,"R.S. Puram, Coimbatore",Dentist,,300
"BDS, MDS - Prosthodontist And Crown Bridge",18 years experience,,"Rohini Sector 11, Delhi",Dentist,"Rohini Sector 11, Delhi ₹250 Visits Today",250
BHMS,11 years experience,,"Dwarka Sector 4, Delhi",Homeopath,,300
BHMS,12 years experience,100%,"Koramangala, Bangalore",Homeopath,"100% 2 Feedback Koramangala, Bangalore",100
BAMS,15 years experience,,"Secunderabad, Hyderabad",Ayurveda,,30
BHMS,14 years experience,,"Jogeshwari West, Mumbai",Homeopath,,100
"MBBS, DVD, MRCGP",16 years experience,100%,"Jubilee Hills, Hyderabad",Dermatologists,"100% 24 Feedback Jubilee Hills, Hyderabad",600
"MBBS, MD - Dermatology",8 years experience,,"Greater Kailash Part 2, Delhi",Dermatologists,"Greater Kailash Part 2, Delhi ₹1,000 Available Today",100
"MBBS, Certificate Course in Evidence Based Diabetes Management (CCEBDM), MD - Bio-Chemistry",38 years experience,,"Secunderabad, Hyderabad",General Medicine,,400
"MBBS, MS - ENT, FRCS - General Surgery",0 years experience,90%,"Jasola, Delhi",ENT Specialist,,400
"DNB - Dermatology & Venereology, MBBS, DDVL",10 years experience,91%,"Vasant Kunj, Delhi",Dermatologists,Dermaroller Dermabrasion Dermatosurgery,100
"MBBS, DNB - Nephrology, MD - General Medicine",40 years experience,,"SR Nagar, Hyderabad",General Medicine,,100
BDS,22 years experience,99%,"Ghatkopar West, Mumbai",Dentist,Crowns and Bridges Fixing Impaction / Impacted Tooth Extraction Dental Fillings,100
"MDS - Conservative Dentistry & Endodontics, BDS",9 years experience,97%,"Vasant Vihar, Delhi",Dentist,Sedation Dentistry General Dentistry Conservative Dentistry,500
"MBBS, Diploma in Otorhinolaryngology (DLO)",40 years experience,,"Ayanavaram, Chennai",ENT Specialist,,150
"MS - ENT, Diploma in Otorhinolaryngology (DLO), MBBS",26 years experience,,"Ghatkopar East, Mumbai",ENT Specialist,,500
"MS - ENT, MBBS",3 years experience,,"Yelahanka, Bangalore",ENT Specialist,,400
"PGD ND, BAMS, Fellow of Academy of General Education (FAGE), Doctor of Medicine (Alternate Medicine)",32 years experience,,"Basaveshwaranagar, Bangalore",Ayurveda,,100
"BAMS, Certificate in Child Health (CCH), CGO",19 years experience,,"Bhandup East, Mumbai",Ayurveda,,100
"BHMS, MD - Homeopathy, Diploma in Trichology - Cosmetology",11 years experience,89%,"Vileparle West, Mumbai",Homeopath,"89% 4 Feedback Vileparle West, Mumbai",500
"BDS, MDS - Prosthodontics",14 years experience,100%,"Banjara Hills, Hyderabad",Dentist,Dental Implant Fixing Implant Retained Dentures Retention implant dentures,200
"MBBS, MD - General Medicine",8 years experience,,"Mehdipatnam, Hyderabad",General Medicine,,300
"MBBS, DDV",13 years experience,99%,"Borivali West, Mumbai",Dermatologists,"Dermabrasion Laser Surgery Sun Spots, Age Spots, And Other Pigmented Lesions",600
"MBBS, MS - Otorhinolaryngology",8 years experience,98%,"Adyar, Chennai",ENT Specialist,"98% 28 Feedback Adyar, Chennai",500
BHMS,11 years experience,,"Rajouri Garden, Delhi",Homeopath,,500
"MBBS, Diploma in Otorhinolaryngology (DLO), MD - Medicine",32 years experience,90%,"Uttam Nagar, Delhi",ENT Specialist,"90% 6 Feedback Uttam Nagar, Delhi",150
"MBBS, MSc",24 years experience,,"Coimbatore Central, Coimbatore",General Medicine,,250
"MBBS, Diploma in Otorhinolaryngology (DLO), MRCS (UK)",18 years experience,96%,"Miyapur, Hyderabad",ENT Specialist,"96% 54 Feedback Miyapur, Hyderabad",300
BDS,7 years experience,,"Mira Road, Mumbai",Dentist,,100
"MBBS, MD - Dermatology, DDV",8 years experience,,"Parel, Mumbai",Dermatologists,"1 Feedback Parel, Mumbai ₹500",500
"MBBS, MD - Dermatology , Venereology & Leprosy",9 years experience,91%,"New Thippasandra, Bangalore",Dermatologists,"91% 8 Feedback New Thippasandra, Bangalore",400
"MBBS, Diploma in Diabetology",14 years experience,,"Mulund West, Mumbai",General Medicine,Diet Counseling Diabetes Management Diabetes in Children,500
"MBBS, DDV, MBBS, DVD",19 years experience,99%,"Dwarka, Delhi",Dermatologists,"99% 18 Feedback Dwarka, Delhi",500
BDS,17 years experience,100%,"Vasant Kunj, Delhi",Dentist,Dental Fillings RCT - Single Sitting Scaling / Polishing,500
"MBBS, DDVL",4 years experience,,"Palluruthy, Ernakulam",Dermatologists,,200
BHMS,4 years experience,,"Chembur, Mumbai",Homeopath,"Chembur, Mumbai Free Consultation Visits On-Call",100
"BHMS, MD - Homeopathy",12 years experience,100%,"Goregaon East, Mumbai",Homeopath,"100% 29 Feedback Goregaon East, Mumbai",500
"MD - Dermatology , Venereology & Leprosy, DDVL, MBBS, Fellowship in Medical Cosmetology",7 years experience,100%,"Thanisandra, Bangalore",Dermatologists,"100% 9 Feedback Thanisandra, Bangalore",300
"MDS - Oral Medicine and Radiology, BDS",6 years experience,,"Vizhinjam, Thiruvananthapuram",Dentist,,150
"BDS, MDS - Conservative Dentistry & Endodontics",28 years experience,98%,"Powai, Mumbai",Dentist,RCT - Single Sitting Dental Implant Fixing Third Molar (Wisdom Tooth) Extraction,400
"MBBS, DDVL",8 years experience,98%,"Yelahanka New Town, Bangalore",Dermatologists,"98% 70 Feedback Yelahanka New Town, Bangalore",250
BDS,21 years experience,90%,"Santacruz, Mumbai",Dentist,Scaling / Polishing Smile Makeovers RCT - Root Canal Treatment,600
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",23 years experience,,"Madipakkam, Chennai",ENT Specialist,,150
"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",4 years experience,,"Rohini Sector 7, Delhi",Dentist,Invisible Orthodontics Orthodontic Treatment Scaling / Polishing,200
"BDS, MDS - Oral Medicine and Radiology",17 years experience,99%,"Arekere, Bangalore",Dentist,Impaction / Impacted Tooth Extraction Cosmetic/ Aesthetic Dentistry Crowns and Bridges Fixing,200
BAMS,12 years experience,,"Ganesh Nagar, Delhi",Ayurveda,,50
"MBBS, DDV",17 years experience,,"Jogeshwari West, Mumbai",Dermatologists,,300
"MBBS, MS - ENT",5 years experience,,"Dharavi, Mumbai",ENT Specialist,,400
"MBBS, DDVL",18 years experience,96%,"Rajakilpakkam, Chennai",Dermatologists,"96% 11 Feedback Rajakilpakkam, Chennai",300
"BDS, MDS - Conservative Dentistry & Endodontics, Certificate in Dental Implants",13 years experience,94%,"JP Nagar 6 Phase, Bangalore",Dentist,Tooth Extraction Dental Fillings Scaling / Polishing,200
BHMS,20 years experience,,"Sulur, Coimbatore",Homeopath,,300
MBBS,23 years experience,100%,"Vengal Rao Nagar, Hyderabad",General Medicine,,400
BHMS,0 years experience,,"Puzhal, Chennai",Homeopath,,100
